Colombia,huila,carcafe ltda ci,Caturra,83.75
Colombia,guayata,racafe & cia s.c.a,Caturra,82.92
Ethiopia,sidamo,kyagalanyi coffee ltd,Gesha,84
Guatemala,san marcos,juan luis alvarado romero,Bourbon,84.17
Guatemala,san marcos,juan luis alvarado romero,Bourbon,83.42
Guatemala,oriente,juan luis alvarado romero,Bourbon,83.17
Guatemala,san marcos,juan luis alvarado romero,Bourbon,82.83
Guatemala,santa rosa,juan luis alvarado romero,Caturra,82.75
Guatemala,san marcos,juan luis alvarado romero,Bourbon,82.75
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,82.75
Guatemala,oriente,juan luis alvarado romero,Bourbon,82.75
Guatemala,el progreso,juan luis alvarado romero,Bourbon,82.75
Guatemala,oriente,juan luis alvarado romero,Bourbon,82.58
Guatemala,san marcos,juan luis alvarado romero,Bourbon,82.42
Guatemala,el progreso,juan luis alvarado romero,Bourbon,82.42
Guatemala,oriente,juan luis alvarado romero,Bourbon,81.92
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,81.92
Guatemala,oriente,juan luis alvarado romero,Bourbon,81.83
Guatemala,san marcos,juan luis alvarado romero,Bourbon,81.75
Guatemala,san marcos,juan luis alvarado romero,Bourbon,81.67
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,81.67
Guatemala,huehuetenango,juan luis alvarado romero,Bourbon,81.58
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,81.5
Guatemala,oriente,juan luis alvarado romero,Bourbon,80.92
Guatemala,santa rosa,juan luis alvarado romero,Caturra,80.5
Guatemala,san marcos,juan luis alvarado romero,Bourbon,79.83
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,79.17
Guatemala,san marcos,juan luis alvarado romero,Bourbon,79.08
Honduras,comayagua,bismarck castro,Caturra,84
Honduras,comayagua,bismarck castro,Caturra,82.75
Honduras,comayagua,elsy reyes,Caturra,82.5
Honduras,comayagua,bismarck castro,Caturra,82.33
Honduras,comayagua,bismarck castro,Caturra,81.92
Honduras,comayagua,elsy reyes,Caturra,81.5
Honduras,ocotepeque,janny marlith torres,Catuai,80.5
Honduras,ocotepeque,janny marlith torres,Catuai,79.17
Indonesia,aceh tengah,pt.royal pacific indah international,Mandheling,84.13
Kenya,meru county,kennedy macharia,SL28,83.67
Kenya,nyeri,jungle estate,SL28,82.83
Kenya,kiambu,lydiah mwangi,SL28,80.92
Mexico,veracruz,cafes tomari sa de cv,Mundo Novo,83.92
Mexico,sierra madre occidental,cafe de don balbino s.c. de r.l. de c.v.,Typica,83.25
Mexico,veracruz,cafes tomari sa de cv,Mundo Novo,81.42
Mexico,veracruz,grupo santab s.a de c.v.,Bourbon,80.92
Panama,boquete,gonzalo hernandez,Gesha,85.83
