Panama,boquete,gonzalo hernandez,Gesha,85.83
Guatemala,san marcos,juan luis alvarado romero,Bourbon,84.17
Indonesia,aceh tengah,pt.royal pacific indah international,Mandheling,84.13
Honduras,comayagua,bismarck castro,Caturra,84.00
Ethiopia,sidamo,kyagalanyi coffee ltd,Gesha,84.00
Mexico,veracruz,cafes tomari sa de cv,Mundo Novo,83.92
Colombia,huila,carcafe ltda ci,Caturra,83.75
Kenya,meru county,kennedy macharia,SL28,83.67
Guatemala,san marcos,juan luis alvarado romero,Bourbon,83.42
Mexico,sierra madre occidental,cafe de don balbino s.c. de r.l. de c.v.,Typica,83.25
Guatemala,oriente,juan luis alvarado romero,Bourbon,83.17
Colombia,guayata,racafe & cia s.c.a,Caturra,82.92
Kenya,nyeri,jungle estate,SL28,82.83
Guatemala,san marcos,juan luis alvarado romero,Bourbon,82.83
Guatemala,el progreso,juan luis alvarado romero,Bourbon,82.75
Guatemala,oriente,juan luis alvarado romero,Bourbon,82.75
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,82.75
Honduras,comayagua,bismarck castro,Caturra,82.75
Guatemala,san marcos,juan luis alvarado romero,Bourbon,82.75
Guatemala,santa rosa,juan luis alvarado romero,Caturra,82.75
Guatemala,oriente,juan luis alvarado romero,Bourbon,82.58
Honduras,comayagua,elsy reyes,Caturra,82.50
Guatemala,el progreso,juan luis alvarado romero,Bourbon,82.42
Guatemala,san marcos,juan luis alvarado romero,Bourbon,82.42
Honduras,comayagua,bismarck castro,Caturra,82.33
Honduras,comayagua,bismarck castro,Caturra,81.92
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,81.92
Guatemala,oriente,juan luis alvarado romero,Bourbon,81.92
Guatemala,oriente,juan luis alvarado romero,Bourbon,81.83
Guatemala,san marcos,juan luis alvarado romero,Bourbon,81.75
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,81.67
Guatemala,san marcos,juan luis alvarado romero,Bourbon,81.67
Guatemala,huehuetenango,juan luis alvarado romero,Bourbon,81.58
Honduras,comayagua,elsy reyes,Caturra,81.50
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,81.50
Mexico,veracruz,cafes tomari sa de cv,Mundo Novo,81.42
Kenya,kiambu,lydiah mwangi,SL28,80.92
Mexico,veracruz,grupo santab s.a de c.v.,Bourbon,80.92
Guatemala,oriente,juan luis alvarado romero,Bourbon,80.92
Honduras,ocotepeque,janny marlith torres,Catuai,80.50
Guatemala,santa rosa,juan luis alvarado romero,Caturra,80.50
Guatemala,san marcos,juan luis alvarado romero,Bourbon,79.83
Honduras,ocotepeque,janny marlith torres,Catuai,79.17
Guatemala,santa rosa,juan luis alvarado romero,Bourbon,79.17
Guatemala,san marcos,juan luis alvarado romero,Bourbon,79.08
